game_date,home_name,away_name,H_Payout,A_Payout,H_odds,A_odds,vig,H_fair_odds,A_fair_odds
2024-05-20,Atlanta Braves,San Diego Padres,1.76,2.16,0.5681818181818182,0.4629629629629629,0.031144781144781142,0.5510204081632654,0.44897959183673464
2024-05-20,Toronto Blue Jays,Chicago White Sox,1.49,2.7,0.6711409395973155,0.37037037037037035,0.04151130996768582,0.6443914081145585,0.3556085918854415
2024-05-20,Cleveland Guardians,New York Mets,1.79,2.06,0.5586592178770949,0.4854368932038835,0.04409611108097833,0.5350649350649351,0.464935064935065
2024-05-20,Atlanta Braves,San Diego Padres,1.45,2.85,0.6896551724137931,0.3508771929824561,0.04053236539624927,0.6627906976744187,0.3372093023255814
2024-05-20,Miami Marlins,Milwaukee Brewers,2.13,1.75,0.4694835680751174,0.5714285714285714,0.04091213950368866,0.4510309278350516,0.5489690721649485
2024-05-20,Washington Nationals,Minnesota Twins,2.41,1.6,0.41493775933609955,0.625,0.03993775933609944,0.39900249376558605,0.6009975062344141
2024-05-20,Tampa Bay Rays,Boston Red Sox,1.91,1.93,0.5235602094240838,0.5181347150259068,0.041694924449990456,0.5026041666666667,0.4973958333333334
2024-05-20,New York Yankees,Seattle Mariners,1.74,2.14,0.5747126436781609,0.4672897196261682,0.04200236330432916,0.5515463917525772,0.4484536082474227
2024-05-20,Kansas City Royals,Detroit Tigers,1.86,1.97,0.5376344086021505,0.5076142131979695,0.045248621800120015,0.5143603133159269,0.4856396866840731
2024-05-20,St. Louis Cardinals,Baltimore Orioles,1.81,2.04,0.5524861878453039,0.49019607843137253,0.04268226627667637,0.5298701298701299,0.4701298701298701
2024-05-20,Houston Astros,Los Angeles Angels,1.48,2.72,0.6756756756756757,0.3676470588235294,0.043322734499205096,0.6476190476190476,0.35238095238095235
2024-05-20,Los Angeles Dodgers,Arizona Diamondbacks,1.43,2.9,0.6993006993006994,0.3448275862068966,0.044128285507595955,0.6697459584295612,0.3302540415704388
